uid	username	map_id	mods	n320	n300	n200	n100	n50	miss	score_id	lazer
10024264	Tre	767046	DT+MR	3014	700	105	17	3	14	567318342	0
10024264	Tre	4294726		3542	2344	374	67	13	74	567323272	0
10024264	Tre	4312004	HT+MR	5884	2178	213	27	24	47	553525792	0
10024264	Tre	689769	DT+MR	2477	694	63	10	1	6	567319321	0
10024264	Tre	2149349	DT+MR	1892	506	87	18	3	19	567317634	0
10024264	Tre	4387804		1777	920	121	22	2	17	569796412	0
10024264	Tre	992512		5211	633	35	3	4	5	567324308	0
10024264	Tre	421066		3360	796	71	16	4	32	567320961	0
10024264	Tre	3684026		5116	1285	72	9	4	21	567317111	0
10024264	Tre	3917445		3934	1360	122	25	14	31	553527651	0
10024264	Tre	4095614	DT+MR	1926	721	162	38	19	36	567317918	0
10024264	Tre	1217803	DT	2389	849	213	64	13	33	567320170	0
10024264	Tre	3525702	DT+MR	960	400	58	3	9	14	567317304	0
10024264	Tre	3972008		3938	1212	143	34	16	40	563792887	0
10024264	Tre	4172533		3121	1448	153	15	5	25	563792406	0
10024264	Tre	3004962	NC	11941	4760	701	219	63	208	514043000	0
10024264	Tre	2755520	DT+MR	2198	736	229	70	17	36	567321463	0
10024264	Tre	1243559		1782	351	44	2	0	8	568232805	0
10024264	Tre	3987715		3410	1034	67	16	6	18	567316305	0
10024264	Tre	4152216		1857	230	14	0	0	0	565372172	0
10024264	Tre	975667	DT+MR	2860	740	68	15	0	17	527619091	0
10024264	Tre	3976253	HT	5924	2539	209	28	17	36	553530668	0
10024264	Tre	4010632		3892	1419	196	50	20	41	563226388	0
10024264	Tre	1091460	DT	1460	332	74	7	1	13	550898797	0
10024264	Tre	2940873	DT	10335	3143	587	137	32	120	500191523	0
10024264	Tre	1001780		1701	441	56	4	3	5	550690856	0
10024264	Tre	3583899		1957	307	22	1	0	1	562353921	0
10024264	Tre	830047	DT	1521	501	88	11	2	10	550900000	0
10024264	Tre	4082469		1744	339	38	20	3	20	567248153	0
10024264	Tre	4163797		3194	608	29	4	4	3	563288356	0
10024264	Tre	1066383	DT	2842	833	113	25	2	22	550899273	0
10024264	Tre	1315053		1668	238	19	0	2	1	550689703	0
10024264	Tre	3702113		2021	372	25	1	0	3	566634130	0
10024264	Tre	4125876	DT	1631	924	85	28	8	20	567324882	0
10024264	Tre	1263100	DT	2396	734	118	12	6	15	527621749	0
10024264	Tre	784054	DT	990	346	48	12	1	5	550899415	0
10024264	Tre	1971029	DT+MR	1607	1106	146	22	14	42	567322199	0
10024264	Tre	3552327	DT	1811	939	128	20	5	25	529271572	0
10024264	Tre	3616430	DT+MR	574	604	116	21	11	33	567318596	0
10024264	Tre	1385762	DT	1142	406	100	14	1	15	550900274	0
10024264	Tre	1830039	DT	1368	506	35	0	0	6	528814469	0
10024264	Tre	4124231		1332	201	11	7	1	1	565573027	0
10024264	Tre	4185865		2334	1296	221	48	18	55	553528912	0
10024264	Tre	1023071		1526	452	11	2	0	0	514499255	0
10024264	Tre	1967430	DT	1114	446	83	27	14	20	527618150	0
10024264	Tre	2387330	DT	1643	581	50	4	3	6	528810109	0
10024264	Tre	770127		1568	607	211	47	4	24	550612343	0
10024264	Tre	3413575		1575	398	32	1	0	7	512429734	0
10024264	Tre	4284926		2687	1370	188	48	26	51	553528381	0
10024264	Tre	431260	DT	2635	820	167	34	7	29	550901898	0
10024264	Tre	963330	DT	2811	806	113	28	4	27	511224688	0
10024264	Tre	2162156		3245	1247	350	110	18	98	550692649	0
10024264	Tre	895083	DT	1016	315	62	12	2	9	550901101	0
10024264	Tre	4133548		2383	554	32	1	1	3	567314946	0
10024264	Tre	2749117		2045	620	25	1	1	3	512781711	0
10024264	Tre	2699172		4126	1048	118	25	8	24	563854555	0
10024264	Tre	532796		1790	253	9	0	0	1	562545003	0
10024264	Tre	3519359		4153	936	119	22	7	32	550689411	0
10024264	Tre	834370	DT	1370	390	50	3	3	13	528808113	0
10024264	Tre	2781454	DT	2188	629	56	3	1	7	517704903	0
10024264	Tre	3301947	DT	1722	410	48	18	8	16	528810472	0
10024264	Tre	2503349	DT	2032	710	45	8	4	10	528813851	0
10024264	Tre	3674684		4681	1886	219	45	8	47	565375728	0
10024264	Tre	1293172		4460	723	30	2	1	5	550585666	0
10024264	Tre	1216881		1658	157	14	0	0	1	563673236	0
10024264	Tre	3082924		2457	102	1	0	0	0	550712090	0
10024264	Tre	1535607	DT	2669	558	49	6	1	12	500177766	0
10024264	Tre	2031389	DT	1231	441	93	26	10	24	550900439	0
10024264	Tre	3920194		2141	168	7	3	0	2	565667590	0
10024264	Tre	2545394		1843	350	12	5	5	1	551397846	0
10024264	Tre	1181795		3913	424	18	17	6	17	523036229	0
10024264	Tre	1033166	DT	2400	582	89	27	5	31	529269847	0
10024264	Tre	2956638		3146	316	15	0	0	2	563536032	0
10024264	Tre	767311	NC	950	467	108	13	4	12	510833915	0
10024264	Tre	4034454		2857	1425	223	65	24	46	563793490	0
10024264	Tre	1231247	DT	1416	361	67	13	5	2	550268837	0
10024264	Tre	1129049	DT	872	95	9	1	1	0	550183158	0
10024264	Tre	1926200	DT	804	316	48	8	2	1	550901513	0
10024264	Tre	1912526		2654	867	123	11	6	22	514253509	0
10024264	Tre	1294900		3195	393	30	3	0	3	550586386	0
10024264	Tre	823842		3846	1465	166	29	4	24	392402812	0
10024264	Tre	3614401		2975	677	62	9	7	8	550680755	0
